symbol,date,open,high,low,close,volume,change,changePercent,vwap
^HSI,1995-01-03,8190.0,8190.0,7833.0,7844.0,0,-346.0,-4.22,8014.25
^HSI,1995-01-04,7857.0,7900.0,7773.0,7887.0,0,30.0,0.38183,7854.25
^HSI,1995-01-05,7908.0,7923.0,7842.0,7918.0,0,10.0,0.12645,7897.75
^HSI,1995-01-06,7904.0,7904.0,7628.0,7683.0,0,-221.0,-2.8,7779.75
^HSI,1995-01-09,7678.0,7678.0,7515.0,7528.0,0,-150.0,-1.95,7599.75
^HSI,1995-01-10,7490.0,7543.0,7365.0,7541.0,0,51.0,0.68091,7484.75
^HSI,1995-01-11,7610.0,7726.0,7389.0,7392.0,0,-218.0,-2.86,7529.25
^HSI,1995-01-12,7427.0,7527.0,7394.0,7418.0,0,-9.0,-0.12118,7441.5
^HSI,1995-01-13,7400.0,7400.0,7138.0,7252.0,0,-148.0,-2.0,7297.5
^HSI,1995-01-16,7316.0,7519.0,7316.0,7504.0,0,188.0,2.57,7413.75
^HSI,1995-01-17,7556.0,7642.0,7546.0,7606.0,0,50.0,0.66173,7587.5
^HSI,1995-01-18,7577.0,7644.0,7530.0,7630.0,0,53.0,0.69949,7595.25
^HSI,1995-01-19,7623.1,7623.1,7419.2,7422.0,0,-201.1,-2.64,7521.85
^HSI,1995-01-20,7329.6,7329.6,7210.9,7278.1,0,-51.5,-0.70263,7287.05
^HSI,1995-01-23,7243.0,7243.0,6890.0,6967.0,0,-276.0,-3.81,7085.75
^HSI,1995-01-24,6970.0,7035.0,6908.0,7022.0,0,52.0,0.74605,6983.75
^HSI,1995-01-25,7034.0,7252.0,7034.0,7240.0,0,206.0,2.93,7140.0
^HSI,1995-01-26,7275.0,7371.0,7256.0,7310.0,0,35.0,0.4811,7303.0
^HSI,1995-01-27,7300.0,7349.0,7209.0,7297.0,0,-3.0,-0.04109589,7288.75
^HSI,1995-01-30,7287.0,7343.0,7267.0,7342.0,0,55.0,0.75477,7309.75
^HSI,1995-02-03,7383.0,7542.0,7383.0,7478.0,0,95.0,1.29,7446.5
^HSI,1995-02-06,7531.0,7918.0,7531.0,7897.0,0,366.0,4.86,7719.25
^HSI,1995-02-07,7927.0,8146.0,7927.0,8004.0,0,77.0,0.97136,8001.0
^HSI,1995-02-08,7978.0,7978.0,7851.0,7934.0,0,-44.0,-0.55152,7935.25
^HSI,1995-02-09,7914.0,8084.0,7871.0,8054.0,0,140.0,1.77,7980.75
^HSI,1995-02-10,8079.0,8173.0,8000.0,8012.0,0,-67.0,-0.82931,8066.0
^HSI,1995-02-13,8010.0,8018.0,7941.0,7974.0,0,-36.0,-0.44944,7985.75
^HSI,1995-02-14,7964.0,7964.0,7809.0,7862.0,0,-102.0,-1.28,7899.75
^HSI,1995-02-15,7857.0,8103.0,7838.0,8103.0,0,246.0,3.13,7975.25
^HSI,1995-02-16,8189.0,8339.0,8119.0,8133.0,0,-56.0,-0.68384,8195.0
^HSI,1995-02-17,8111.0,8159.0,8003.0,8043.0,0,-68.0,-0.83837,8079.0
^HSI,1995-02-20,8013.0,8013.0,7853.0,7906.0,0,-107.0,-1.34,7946.25
^HSI,1995-02-21,7899.0,8082.0,7899.0,8082.0,0,183.0,2.32,7990.5
^HSI,1995-02-22,8104.0,8135.0,7877.0,7909.0,0,-195.0,-2.41,8006.25
^HSI,1995-02-23,7933.0,8033.0,7907.0,7976.0,0,43.0,0.54204,7962.25
^HSI,1995-02-24,8096.0,8236.0,8096.0,8218.0,0,122.0,1.51,8161.5
^HSI,1995-02-27,8094.0,8146.0,8006.0,8126.0,0,32.0,0.39535,8093.0
