symbol,date,open,high,low,close,volume,change,changePercent,vwap
^IXIC,1995-01-03,751.3,751.3,743.5,743.6,248750000,-7.7,-1.02489,747.425
^IXIC,1995-01-04,744.8,746.4,740.5,745.8,290350000,1.0,0.13426,744.375
^IXIC,1995-01-05,746.9,748.5,745.1,745.7,297513000,-1.2,-0.16066,746.55
^IXIC,1995-01-06,746.3,750.7,745.8,749.7,312922000,3.4,0.45558,748.125
^IXIC,1995-01-09,750.2,752.8,750.1,752.1,267090000,1.9,0.25327,751.3
^IXIC,1995-01-10,754.3,759.2,754.3,756.5,353514000,2.2,0.29166,756.075
^IXIC,1995-01-11,758.1,760.0,751.7,755.7,329524000,-2.4,-0.31658,756.375
^IXIC,1995-01-12,755.7,757.0,754.7,756.5,302235000,0.8,0.10586,755.975
^IXIC,1995-01-13,758.4,762.3,757.3,762.2,313631000,3.8,0.50105,760.05
^IXIC,1995-01-16,762.3,769.1,762.2,768.2,301371000,5.9,0.77397,765.45
^IXIC,1995-01-17,769.2,772.2,768.4,772.1,337330000,2.9,0.37702,770.475
^IXIC,1995-01-18,773.0,774.3,769.2,772.4,348333000,-0.6,-0.07761966,772.225
^IXIC,1995-01-19,772.3,772.3,768.3,768.5,331863000,-3.8,-0.49204,770.35
^IXIC,1995-01-20,768.0,768.1,759.3,762.0,342171000,-6.0,-0.78125,764.35
^IXIC,1995-01-23,759.3,759.6,753.8,759.5,276420000,0.2,0.02634005,758.05
^IXIC,1995-01-24,760.5,763.3,759.8,763.2,298330000,2.7,0.35503,761.7
^IXIC,1995-01-25,759.7,763.3,757.2,761.0,313104000,1.3,0.17112,760.3
^IXIC,1995-01-26,761.0,762.3,757.6,757.6,295060000,-3.4,-0.44678,759.625
^IXIC,1995-01-27,757.6,760.4,756.8,758.9,309380000,1.3,0.17159,758.425
^IXIC,1995-01-30,759.6,760.6,751.5,751.8,259471000,-7.8,-1.02686,755.875
^IXIC,1995-01-31,752.8,755.8,751.0,755.2,301432000,2.4,0.31881,753.7
^IXIC,1995-02-01,756.7,762.3,756.7,758.3,309930000,1.6,0.21144,758.5
^IXIC,1995-02-02,758.2,763.7,758.2,763.6,294261000,5.4,0.71221,760.925
^IXIC,1995-02-03,766.5,773.9,766.5,772.1,379851000,5.6,0.73059,769.75
