symbol,date,open,high,low,close,volume,change,changePercent,vwap
^N225,1995-01-03,19724.0,19724.0,19641.0,19684.0,0,-40.0,-0.2028,19693.25
^N225,1995-01-04,19725.0,19725.0,19641.0,19684.0,0,-41.0,-0.20786,19693.75
^N225,1995-01-05,19697.0,19717.0,19518.0,19616.0,0,-81.0,-0.41123,19637.0
^N225,1995-01-06,19586.0,19586.0,19417.0,19519.0,0,-67.0,-0.34208,19527.0
^N225,1995-01-09,19502.0,19524.0,19434.0,19445.0,0,-57.0,-0.29228,19476.25
^N225,1995-01-10,19415.0,19544.0,19369.0,19501.0,0,86.0,0.44296,19457.25
^N225,1995-01-11,19517.0,19603.0,19480.0,19548.0,0,31.0,0.15884,19537.0
^N225,1995-01-12,19536.0,19547.0,19344.0,19410.0,0,-126.0,-0.64496,19459.25
^N225,1995-01-13,19408.0,19408.0,19265.0,19331.0,0,-77.0,-0.39674,19353.0
^N225,1995-01-17,19322.0,19362.0,19088.0,19241.0,0,-81.0,-0.41921,19253.25
^N225,1995-01-18,19231.0,19321.0,19201.0,19223.0,0,-8.0,-0.0415995,19244.0
^N225,1995-01-19,19298.0,19298.0,18978.0,19076.0,0,-222.0,-1.15,19162.5
^N225,1995-01-20,19034.0,19034.0,18754.0,18840.0,0,-194.0,-1.02,18915.5
^N225,1995-01-23,18807.0,18818.0,17779.0,17785.0,0,-1022.0,-5.43,18297.25
^N225,1995-01-24,17807.0,18139.0,17699.0,18061.0,0,254.0,1.43,17926.5
^N225,1995-01-25,18096.0,18413.0,18096.0,18159.0,0,63.0,0.34814,18191.0
^N225,1995-01-26,18168.0,18407.0,18017.0,18071.0,0,-97.0,-0.53391,18165.75
^N225,1995-01-27,18091.0,18257.0,17938.0,18104.0,0,13.0,0.07185894,18097.5
^N225,1995-01-30,18752.0,18752.0,18752.0,18752.0,0,0.0,0.0,18752.0
^N225,1995-01-31,18790.0,18855.0,18583.0,18650.0,0,-140.0,-0.74508,18719.5
^N225,1995-02-01,18646.0,18868.0,18609.0,18739.0,0,93.0,0.49877,18715.5
^N225,1995-02-02,18720.0,18720.0,18521.0,18604.0,0,-116.0,-0.61966,18641.25
^N225,1995-02-03,18607.0,18645.0,18436.0,18538.0,0,-69.0,-0.37083,18556.5
^N225,1995-02-06,18584.0,18672.0,18573.0,18667.0,0,83.0,0.44662,18624.0
^N225,1995-02-07,18656.0,18656.0,18500.0,18501.0,0,-155.0,-0.83083,18578.25
^N225,1995-02-08,18477.0,18477.0,18137.0,18290.0,0,-187.0,-1.01,18345.25
^N225,1995-02-09,18265.0,18339.0,18100.0,18100.0,0,-165.0,-0.90337,18201.0
