symbol,date,open,high,low,close,volume,change,changePercent,vwap
^RUT,1995-01-03,250.360001,250.360001,247.029999,247.240005,262450000,-3.12,-1.25,248.21
^RUT,1995-01-04,247.240005,247.830002,246.610001,247.649994,319510000,0.409989,0.16583,247.36
^RUT,1995-01-05,247.649994,247.850006,247.410004,247.460007,309050000,-0.189987,-0.07671593,247.57
^RUT,1995-01-06,247.460007,248.490005,247.380005,248.080002,308080000,0.619995,0.25054,247.98
^RUT,1995-01-09,248.080002,248.699997,248.050003,248.369995,278790000,0.289993,0.11689,248.37
^RUT,1995-01-10,248.380005,249.600006,248.369995,248.979996,352450000,0.599991,0.24156,248.98
^RUT,1995-01-11,248.979996,249.399994,247.350006,248.160004,346310000,-0.819992,-0.32934,248.3
^RUT,1995-01-12,248.160004,248.309998,247.639999,248.270004,313040000,0.11,0.04432624,248.07
^RUT,1995-01-13,248.270004,250.0,248.270004,249.949997,336710000,1.67999,0.67668,249.41
^RUT,1995-01-16,249.949997,251.740005,249.949997,251.720001,315810000,1.77,0.70814,251.14
^RUT,1995-01-17,251.720001,252.919998,251.660004,252.919998,333410000,1.2,0.47672,252.5
^RUT,1995-01-18,252.919998,253.130005,251.809998,252.309998,344660000,-0.61,-0.24118,252.42
^RUT,1995-01-19,252.309998,252.369995,250.880005,251.009995,297220000,-1.3,-0.51524,251.42
^RUT,1995-01-20,251.009995,251.020004,248.889999,249.639999,378190000,-1.37,-0.54579,249.85
^RUT,1995-01-23,249.639999,249.639999,247.080002,248.070007,325830000,-1.56999,-0.6289,248.26
^RUT,1995-01-24,248.070007,248.960007,248.070007,248.940002,315430000,0.869995,0.35071,248.66
^RUT,1995-01-25,248.940002,249.089996,247.979996,248.800003,342610000,-0.139999,-0.05623805,248.62
^RUT,1995-01-26,248.800003,249.020004,247.929993,248.080002,311990000,-0.720001,-0.28939,248.34
^RUT,1995-01-27,248.080002,248.779999,247.889999,248.470001,339510000,0.389999,0.15721,248.38
^RUT,1995-01-30,248.470001,248.649994,246.559998,246.559998,318560000,-1.91,-0.76871,247.26
^RUT,1995-01-31,246.559998,247.179993,246.380005,246.850006,409560000,0.290008,0.11762,246.8
^RUT,1995-02-01,246.850006,248.270004,246.850006,247.5,395320000,0.649994,0.26332,247.54
^RUT,1995-02-02,247.5,248.619995,247.5,248.619995,322120000,1.11999,0.45252,248.25
^RUT,1995-02-03,248.619995,251.199997,248.619995,250.779999,441000000,2.16,0.8688,250.2
^RUT,1995-02-06,250.779999,252.520004,250.779999,252.440002,325660000,1.66,0.66194,251.91
^RUT,1995-02-07,252.440002,253.119995,252.410004,252.970001,315190000,0.529999,0.20995,252.83
^RUT,1995-02-08,252.970001,253.830002,252.960007,253.789993,318430000,0.819992,0.32415,253.53
^RUT,1995-02-09,253.789993,254.539993,253.789993,254.279999,325570000,0.490006,0.19308,254.2
^RUT,1995-02-10,254.279999,255.419998,254.279999,255.419998,295600000,1.14,0.44832,255.04
^RUT,1995-02-13,255.339996,255.669998,255.210007,255.529999,255190000,0.190003,0.07441177,255.47
^RUT,1995-02-14,255.529999,255.869995,254.830002,255.240005,301210000,-0.289994,-0.11349,255.31
^RUT,1995-02-15,255.240005,257.470001,255.229996,257.470001,378040000,2.23,0.87369,256.72
^RUT,1995-02-16,257.470001,257.5,255.789993,255.929993,360990000,-1.54001,-0.59813,256.41
^RUT,1995-02-17,255.929993,255.940002,254.130005,254.710007,354620000,-1.21999,-0.47669,254.93
^RUT,1995-02-21,254.710007,254.869995,253.779999,253.860001,308090000,-0.850006,-0.33372,254.17
^RUT,1995-02-22,253.860001,254.389999,253.720001,253.940002,339460000,0.080001,0.03151383,254.02
^RUT,1995-02-23,253.940002,255.419998,253.940002,254.949997,394100000,1.01,0.39773,254.77
^RUT,1995-02-24,254.949997,255.470001,254.339996,255.470001,302930000,0.520004,0.20396,255.09
^RUT,1995-02-27,255.470001,255.470001,253.559998,253.860001,285790000,-1.61,-0.63021,254.3
^RUT,1995-02-28,253.860001,256.570007,253.850006,256.570007,317220000,2.71001,1.07,255.66
^RUT,1995-03-01,256.570007,256.600006,255.839996,256.049988,362600000,-0.520019,-0.20268,256.16
^RUT,1995-03-02,256.049988,256.25,255.419998,256.160004,330030000,0.110016,0.04296661,255.94
^RUT,1995-03-03,256.160004,256.899994,255.869995,256.899994,330840000,0.73999,0.28888,256.56
^RUT,1995-03-06,256.890015,256.890015,255.169998,255.809998,298870000,-1.08002,-0.42042,255.96
^RUT,1995-03-07,255.809998,255.910004,253.690002,254.130005,355550000,-1.67999,-0.65673,254.58
^RUT,1995-03-08,254.130005,254.869995,253.990005,254.869995,349790000,0.73999,0.29119,254.58
^RUT,1995-03-09,254.869995,255.169998,254.380005,254.789993,320120000,-0.080002,-0.03138934,254.78
^RUT,1995-03-10,254.789993,256.200012,254.789993,256.01001,383010000,1.22002,0.47883,255.67
^RUT,1995-03-13,256.01001,256.359985,255.729996,256.179993,275280000,0.169983,0.06639701,256.09
^RUT,1995-03-14,256.179993,257.359985,256.179993,257.26001,346180000,1.08002,0.42159,256.93
^RUT,1995-03-15,257.26001,257.390015,256.549988,257.390015,337150000,0.130005,0.05053448,257.11
^RUT,1995-03-16,257.390015,258.200012,257.350006,258.179993,336670000,0.789978,0.30692,257.91
^RUT,1995-03-17,258.179993,258.209991,257.170013,257.320007,417380000,-0.859986,-0.3331,257.57
^RUT,1995-03-20,257.320007,257.869995,257.279999,257.829987,301740000,0.50998,0.19819,257.66
^RUT,1995-03-21,257.829987,258.350006,256.929993,257.149994,367110000,-0.679993,-0.26374,257.48
^RUT,1995-03-22,257.149994,257.269989,256.600006,256.790009,313120000,-0.359985,-0.13999,256.89
^RUT,1995-03-23,256.790009,257.579987,256.790009,257.529999,321450000,0.73999,0.28817,257.3
^RUT,1995-03-24,257.529999,258.850006,257.529999,258.850006,369540000,1.32001,0.51256,258.41
^RUT,1995-03-27,258.850006,259.859985,258.809998,259.850006,296300000,1.0,0.38632,259.51
^RUT,1995-03-28,259.850006,260.279999,259.320007,260.269989,320360000,0.419983,0.16163,259.96
^RUT,1995-03-29,260.269989,261.549988,259.519989,259.899994,385950000,-0.369995,-0.14216,260.32
^RUT,1995-03-30,259.899994,260.320007,259.410004,260.279999,362960000,0.380005,0.14621,260.0
^RUT,1995-03-31,260.279999,260.790009,258.220001,260.769989,353090000,0.48999,0.18825,259.93
^RUT,1995-04-03,260.600006,260.850006,259.619995,260.809998,296430000,0.209992,0.0805802,260.43
^RUT,1995-04-04,260.820007,261.100006,260.570007,260.75,330580000,-0.070007,-0.02684112,260.81
^RUT,1995-04-05,260.720001,261.209991,260.450012,261.209991,315170000,0.48999,0.18794,260.96
^RUT,1995-04-06,261.209991,261.549988,260.970001,261.230011,320470000,0.02002,0.00766433,261.25
^RUT,1995-04-07,260.799988,260.980011,259.720001,260.019989,314760000,-0.779999,-0.29908,260.24
^RUT,1995-04-10,260.019989,261.609985,260.019989,261.609985,260980000,1.59,0.61149,261.08
^RUT,1995-04-11,261.589996,262.529999,261.559998,262.529999,310660000,0.940003,0.35934,262.21
^RUT,1995-04-12,262.529999,262.98999,262.140015,262.959991,327880000,0.429992,0.16379,262.7
^RUT,1995-04-13,262.929993,263.98999,262.929993,263.980011,301570000,1.05002,0.39935,263.63
^RUT,1995-04-17,263.980011,264.820007,263.220001,263.959991,333930000,-0.02002,-0.00758391,264.0
^RUT,1995-04-18,263.959991,264.230011,262.51001,262.799988,345240000,-1.16,-0.43946,263.18
^RUT,1995-04-19,262.799988,262.799988,260.149994,260.600006,378050000,-2.19998,-0.83713,261.18
^RUT,1995-04-20,260.589996,261.350006,260.01001,261.25,368450000,0.660004,0.25327,260.87
^RUT,1995-04-21,261.26001,262.51001,261.26001,262.51001,403250000,1.25,0.47845,262.09
^RUT,1995-04-24,262.51001,263.709991,262.290009,263.700012,326280000,1.19,0.45332,263.23
^RUT,1995-04-25,263.709991,264.019989,263.589996,263.970001,351790000,0.26001,0.09859695,263.86
^RUT,1995-04-26,263.970001,264.890015,263.589996,264.890015,352670000,0.920014,0.34853,264.46
^RUT,1995-04-27,264.899994,265.700012,264.899994,265.700012,352310000,0.800018,0.30201,265.43
^RUT,1995-04-28,265.700012,266.179993,264.549988,266.170013,320440000,0.470001,0.17689,265.63
^RUT,1995-05-01,266.200012,266.269989,265.369995,265.940002,296830000,-0.26001,-0.09767468,265.86
^RUT,1995-05-02,265.940002,265.970001,265.369995,265.899994,302560000,-0.040008,-0.01504399,265.75
^RUT,1995-05-03,265.589996,266.839996,265.579987,266.839996,392890000,1.25,0.47065,266.42
^RUT,1995-05-04,266.869995,267.480011,265.529999,265.660004,434990000,-1.20999,-0.4534,266.22
^RUT,1995-05-05,265.709991,266.119995,264.589996,265.619995,342380000,-0.089996,-0.03387001,265.44
^RUT,1995-05-08,265.609985,267.01001,265.269989,267.01001,291810000,1.40003,0.5271,266.43
^RUT,1995-05-09,267.029999,267.76001,266.559998,266.559998,365420000,-0.470001,-0.17601,266.96
^RUT,1995-05-10,266.540009,267.799988,266.540009,267.769989,381990000,1.22998,0.46146,267.37
^RUT,1995-05-11,267.769989,268.970001,267.700012,268.940002,339900000,1.17001,0.43695,268.54
^RUT,1995-05-12,268.940002,269.869995,268.799988,269.850006,361000000,0.910004,0.33837,269.51
^RUT,1995-05-15,269.850006,271.160004,269.850006,270.929993,316240000,1.07999,0.40022,270.65
^RUT,1995-05-16,270.929993,272.220001,270.920013,272.170013,366240000,1.24002,0.45769,271.77
^RUT,1995-05-17,272.170013,273.079987,272.170013,272.790009,347930000,0.619996,0.2278,272.68
^RUT,1995-05-18,272.809998,272.890015,270.869995,270.950012,351900000,-1.85999,-0.68179,271.57
^RUT,1995-05-19,270.950012,270.950012,269.380005,270.549988,354010000,-0.400024,-0.14764,270.29
^RUT,1995-05-22,270.549988,271.790009,270.5,271.579987,285600000,1.03,0.38071,271.29
^RUT,1995-05-23,271.579987,272.940002,271.579987,272.929993,362690000,1.35001,0.49709,272.48
^RUT,1995-05-24,272.929993,273.850006,272.089996,272.440002,393860000,-0.489991,-0.17953,272.79
^RUT,1995-05-25,272.440002,272.480011,271.279999,271.959991,341820000,-0.480011,-0.17619,271.91
^RUT,1995-05-26,271.959991,271.959991,270.179993,270.570007,291220000,-1.38998,-0.5111,270.9
^RUT,1995-05-30,270.670013,270.920013,268.549988,269.149994,280990000,-1.52002,-0.56158,269.54
^RUT,1995-05-31,269.179993,270.279999,268.399994,270.25,358180000,1.07001,0.39751,269.64
^RUT,1995-06-01,270.25,271.48999,270.230011,271.480011,345920000,1.23001,0.45514,271.07
^RUT,1995-06-02,271.470001,272.420013,270.600006,272.269989,366000000,0.799988,0.29469,271.76
^RUT,1995-06-05,272.269989,274.339996,272.269989,274.220001,337520000,1.95001,0.71621,273.61
^RUT,1995-06-06,274.220001,275.040009,274.200012,274.690002,340490000,0.470001,0.1714,274.64
^RUT,1995-06-07,274.690002,275.040009,274.359985,274.809998,327790000,0.119996,0.04368415,274.74
^RUT,1995-06-08,274.809998,275.799988,274.790009,275.730011,290360000,0.920013,0.33478,275.44
^RUT,1995-06-09,275.730011,275.790009,274.589996,275.209991,327570000,-0.52002,-0.1886,275.2
^RUT,1995-06-12,275.209991,276.480011,275.209991,276.450012,289920000,1.24002,0.45057,276.05
^RUT,1995-06-13,276.450012,278.230011,276.450012,278.230011,339660000,1.78,0.64388,277.64
^RUT,1995-06-14,278.230011,278.850006,277.820007,278.850006,330770000,0.619995,0.22284,278.51
^RUT,1995-06-15,278.850006,280.290009,278.850006,280.290009,334700000,1.44,0.51641,279.81
^RUT,1995-06-16,280.279999,281.350006,280.190002,280.809998,442740000,0.529999,0.1891,280.78
^RUT,1995-06-19,280.799988,282.230011,280.799988,282.230011,322990000,1.43002,0.50927,281.75
^RUT,1995-06-20,282.369995,282.559998,282.059998,282.540009,382370000,0.170014,0.06020966,282.39
^RUT,1995-06-21,282.570007,283.0,282.059998,282.75,398210000,0.179993,0.06369855,282.6
^RUT,1995-06-22,282.720001,284.369995,282.720001,284.369995,421000000,1.64999,0.58361,283.82
^RUT,1995-06-23,284.369995,284.399994,283.730011,284.019989,318630000,-0.350006,-0.12308,284.05
^RUT,1995-06-26,284.029999,284.059998,281.269989,281.309998,296720000,-2.72,-0.95765,282.21
^RUT,1995-06-27,281.320007,281.76001,280.190002,280.290009,346960000,-1.03,-0.36613,280.75
^RUT,1995-06-28,280.290009,280.290009,279.0,279.940002,368060000,-0.350007,-0.12487,279.74
^RUT,1995-06-29,279.940002,281.200012,279.940002,281.079987,313080000,1.13999,0.40722,280.74
^RUT,1995-06-30,281.070007,283.630005,281.049988,283.630005,311650000,2.56,0.9108,282.77
^RUT,1995-07-03,283.630005,283.769989,283.190002,283.73999,117910000,0.109985,0.03877763,283.57
^RUT,1995-07-05,283.700012,285.040009,283.700012,284.769989,357870000,1.06998,0.37715,284.5
^RUT,1995-07-06,284.799988,286.350006,284.730011,286.350006,420500000,1.55002,0.54425,285.81
^RUT,1995-07-07,286.350006,289.350006,286.269989,289.350006,466540000,3.0,1.05,288.32
^RUT,1995-07-10,289.470001,290.670013,289.309998,290.670013,409700000,1.20001,0.41455,290.22
^RUT,1995-07-11,290.640015,291.070007,290.029999,291.049988,376780000,0.409973,0.14106,290.72
^RUT,1995-07-12,291.089996,293.769989,291.089996,293.769989,416360000,2.67999,0.92068,292.88
^RUT,1995-07-13,293.779999,294.799988,293.779999,294.670013,387500000,0.890014,0.30295,294.42
^RUT,1995-07-14,294.549988,294.880005,292.869995,294.880005,312940000,0.330017,0.11204,294.21
^RUT,1995-07-17,294.850006,295.970001,294.850006,295.959991,322540000,1.10998,0.37646,295.59
^RUT,1995-07-18,295.940002,295.959991,293.149994,293.589996,372230000,-2.35001,-0.79408,294.23
^RUT,1995-07-19,293.109985,293.109985,285.149994,287.070007,483400000,-6.03998,-2.06,288.44
^RUT,1995-07-20,287.109985,289.440002,287.109985,289.420013,386380000,2.31003,0.80458,288.66
^RUT,1995-07-21,289.440002,290.829987,289.26001,290.529999,431830000,1.09,0.37659,290.21
^RUT,1995-07-24,290.529999,293.390015,290.529999,293.390015,315300000,2.86002,0.98441,292.44
^RUT,1995-07-25,293.390015,294.720001,293.390015,294.700012,373200000,1.31,0.4465,294.27
^RUT,1995-07-26,294.700012,296.109985,294.700012,296.100006,393470000,1.39999,0.47506,295.64
^RUT,1995-07-27,296.109985,298.76001,296.109985,298.75,355160000,2.64002,0.89157,297.87
^RUT,1995-07-28,298.769989,299.309998,298.299988,299.230011,311590000,0.460022,0.15397,298.95
^RUT,1995-07-31,299.230011,299.720001,298.220001,299.720001,291950000,0.48999,0.16375,299.22
^RUT,1995-08-01,299.730011,299.809998,297.320007,298.329987,332210000,-1.40002,-0.4671,298.49
^RUT,1995-08-02,298.390015,299.920013,297.649994,297.829987,374330000,-0.560028,-0.18768,298.47
^RUT,1995-08-03,297.829987,297.829987,295.209991,297.369995,354130000,-0.459992,-0.15445,296.8
^RUT,1995-08-04,297.269989,298.279999,297.269989,298.269989,314740000,1.0,0.33639,297.94
^RUT,1995-08-07,298.290009,299.149994,298.290009,299.140015,277050000,0.850006,0.28496,298.86
^RUT,1995-08-08,299.140015,299.640015,298.519989,298.809998,306100000,-0.330017,-0.11032,298.99
^RUT,1995-08-09,298.809998,299.579987,298.809998,299.579987,303400000,0.769989,0.25769,299.32
^RUT,1995-08-10,299.589996,300.0,298.829987,299.23999,306670000,-0.350006,-0.11683,299.36
^RUT,1995-08-11,299.26001,299.859985,298.700012,299.079987,265870000,-0.180023,-0.06015605,299.21
^RUT,1995-08-14,299.079987,300.269989,299.029999,300.269989,264920000,1.19,0.39789,299.86
^RUT,1995-08-15,300.279999,300.709991,299.609985,300.670013,330070000,0.390014,0.12988,300.33
^RUT,1995-08-16,300.709991,302.359985,300.709991,302.350006,390520000,1.64002,0.54538,301.81
^RUT,1995-08-17,302.350006,303.75,302.350006,303.649994,356750000,1.29999,0.42996,303.25
^RUT,1995-08-18,303.649994,304.339996,303.640015,304.299988,320490000,0.649994,0.21406,304.09
^RUT,1995-08-21,304.299988,305.480011,303.959991,305.480011,303200000,1.18002,0.38778,304.97
